Source Coordinate,Target Coordinate,Path Type,Obstacle,Path ID,Channel coefficient,Propagation delay,Zenith angle of departure,Azimuth angle of departure,Zenith angle of arrival,Azimuth angle of arrival
[[-24. -14.  10.]],[[-32. -34.   5.]],[[0 1 1 1 1 1 1 1 1]],0,0,(0.0010682619+0j),0.0,1.7988766,-1.9513028,1.3427161,1.19029
[[-24. -14.  10.]],[[-32. -33.   5.]],[[0 1 1 1 1 1 1 1 1]],0,0,(0.0011109887+0j),0.0,1.8087375,-1.9693189,1.3328552,1.1722739
[[-24. -14.  10.]],[[-32. -32.   5.]],[[0 1 1 1 1 1 1 1]],0,0,(0.0011566273+0j),0.0,1.8193828,-1.9890207,1.32221,1.152572
[[-24. -14.  10.]],[[-32. -31.   5.]],[[0 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0012053777+0j),0.0,1.8308913,-2.010639,1.3107015,1.1309538
[[-24. -14.  10.]],[[-32. -30.   5.]],[[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0012574294+0j),0.0,1.8433492,-2.0344439,1.2982435,1.1071488
[[-24. -14.  10.]],[[-32. -29.   5.]],[[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0013129461+0j),0.0,1.8568479,-2.0607538,1.2847449,1.080839
[[-24. -14.  10.]],[[-32. -28.   5.]],[[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0013720486+0j),0.0,1.8714812,-2.0899425,1.2701116,1.0516503
[[-24. -14.  10.]],[[-32. -27.   5.]],[[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.001434782+0j),0.0,1.8873427,-2.1224513,1.25425,1.0191414
[[-24. -14.  10.]],[[-32. -26.   5.]],[[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0015010787+0j),0.0,1.9045172,-2.158799,1.2370756,0.9827938
[[-24. -14.  10.]],[[-32. -25.   5.]],[[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0015707037+0j),0.0,1.92307,-2.1995926,1.2185228,0.9420001
[[-24. -14.  10.]],[[-32. -24.   5.]],[[1 1 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(-2.5976171e-05-2.3200226e-05j),0.008874678769643651,1.9259925,-1.8629819,1.9259921,-1.8629814
[[-24. -14.  10.]],[[-32. -23.   5.]],[[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(-2.530106e-05-2.1512595e-05j),0.036489183230514755,1.9175165,-1.8551962,1.9175164,-1.8551958
[[-24. -14.  10.]],[[-32. -22.   5.]],[[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(8.196034e-06-1.17891e-06j),0.3816061280303984,1.6036727,-3.0889473,1.5379202,0.052645415
[[-24. -14.  10.]],[[-32. -21.   5.]],[[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(8.799882e-06-1.2661703e-06j),0.4012749172943586,1.6036832,-3.0955179,1.5379095,0.046074715
[[-24. -14.  10.]],[[-32. -20.   5.]],[[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(9.566391e-06-1.3768075e-06j),0.3748293693206506,1.6036927,-3.1020927,1.5379002,0.039500058
[[-24. -14.  10.]],[[-32. -19.   5.]],[[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(1.0542809e-05-1.517597e-06j),0.3714665126608452,1.6037005,-3.1086707,1.5378925,0.032921962
